"","player_id","name","season","team_id","nation","pos","matches","starts","minutes","goals","assists","yellow_cards","red_cards"
"306",22,"Alyssa Mautz",2018,"CHI","USA","FW,MF",23,20,1716,5,3,3,0
"307",466,"Stephanie McCaffrey",2018,"CHI","USA","FW",2,0,9,0,0,0,0
"308",488,"Tiffany McCarty",2018,"WAS","USA","FW",1,1,70,0,0,0,0
"309",452,"Savannah McCaskill",2018,"NJ","USA","FW",20,17,1510,3,3,3,0
"310",212,"Jessica McDonald",2018,"NC","USA","FW",23,21,1686,7,9,1,0
"311",278,"Kristen McNabb",2018,"SEA","USA","DF",20,12,1156,0,0,2,0
"312",353,"McKenzie Meehan",2018,"NJ","USA","FW",11,3,350,0,0,1,0
"313",150,"Emily Menges",2018,"POR","USA","DF",15,15,1305,0,0,0,0
"314",280,"Kristie Mewis",2018,"HOU","USA","DF,MF",11,11,919,2,0,0,0
"315",441,NA,2018,"NC","USA","MF",17,11,1088,3,2,1,0
"316",473,"Sydney Miramontez",2018,"UTA","USA","DF",10,6,639,0,0,0,0
"317",382,"NA Monica",2018,"ORL","BRA","DF",17,15,1400,0,0,2,0
"318",11,"Alex Morgan",2018,"ORL","USA","FW",19,17,1511,5,2,0,0
"319",426,"Rebecca Moros",2018,"UTA","USA","DF,MF",22,22,1869,0,0,1,0
"320",304,"Linda Motlhalo",2018,"HOU","RSA","MF",21,20,1788,1,1,0,0
"321",16,"Alli Murphy",2018,"HOU","USA","MF",1,0,13,0,0,0,0
"322",504,"Yuki Nagasato",2018,"CHI","JPN","FW",22,17,1608,4,7,4,0
"323",101,"Christine Nairn",2018,"ORL","USA","MF",20,13,1116,1,4,1,0
"324",242,NA,2018,"CHI","USA","DF",23,23,2059,1,0,2,0
"325",14,"Alexa Newfield",2018,"WAS","USA","FW",1,0,20,0,0,0,0
"326",485,"Theresa Nielsen",2018,"SEA","DEN","DF",20,18,1654,1,1,0,0
"327",257,"Kelley O'Hara",2018,"UTA","USA","DF,FW",8,7,518,1,0,0,0
"328",183,"Heather O'Reilly",2018,"NC","USA","FW,MF",8,2,260,0,0,0,0
"329",126,"Denise O'Sullivan",2018,"NC","IRL","FW",22,20,1752,0,2,2,0
